time,tweets
2019-04-30 14:28:37,RT @Brexit_Support: BBC to be fined for #Brexit biased https://t.co/WS0U1xPkSN
2019-04-30 14:28:36,RT @BBCWorldatOne: “Labour activists and members want to have a say on whatever comes out of the sausage machine of Westminster around #Bre…
2019-04-30 14:28:32,"RT @Kishan_Devani: RT if you think this could be a lesson worth learning for @realDonaldTrump, @Nigel_Farage &amp; the @Conservatives Crew...…"
2019-04-30 14:28:32,RT @Brexit_Support: BBC to be fined for #Brexit biased https://t.co/WS0U1xPkSN
2019-04-30 14:28:29,"RT @MichelBarnier: Very good meetings today in Copenhagen with PM @larsloekke, FM @anderssamuelsen and @folketinget. 
 
I remain convinced…"
2019-04-30 14:28:21,"RT @brexit_politics: Do you believe we have more facts?

I've been debating with Remainers for 18+ months about #Brexit &amp; most are poorly e…"
2019-04-30 14:28:20,Not many on the bus as they arrived in the town centre. The party is also holding a rally in Newport tonight #Brexit https://t.co/u6a9CbCAqO
2019-04-30 14:28:16,"Kudos to @EUROPEUM for a fun event with a great mix of researchers, practitioners and ambassadors. Thanks for this… https://t.co/a2mrvDgRZ4"
2019-04-30 14:28:12,"In 2018, about 600 #British citizens registered their right of residence. In 2019, the corresponding figure is alre… https://t.co/hddchmG7ra"
2019-04-30 14:28:08,Fewer British holidaymakers have booked a summer holiday inside the European Union this year amid continuing… https://t.co/PjInxwfAjw
2019-04-30 14:27:58,RT @MatthewGreen02: Corbyn’s #Brexit 'fudge' is causing an exodus of Labour party members. His plan to mislead the many &amp; not just the few…
2019-04-30 14:27:55,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:27:54,See % of people that now want to #Remain and #StopBrexit has increased. Is that a UK total or just those in LONDON?… https://t.co/rrMJmsEmfV
2019-04-30 14:27:49,RT @mrjohnnice: Who will you vote for in the EU elections? I think I've included every party.  Any others have no chance anyway #LEAVE #Rem…
2019-04-30 14:27:46,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:27:44,RT @guyverhofstadt: My letter to @theresa_may expressing the @Europarl_EN's deep concern at reports of huge post - #Brexit fee increases fo…
2019-04-30 14:27:42,"RT @Kishan_Devani: RT if you think this could be a lesson worth learning for @realDonaldTrump, @Nigel_Farage &amp; the @Conservatives Crew...…"
2019-04-30 14:27:40,RT @MatthewGreen02: Corbyn’s #Brexit 'fudge' is causing an exodus of Labour party members. His plan to mislead the many &amp; not just the few…
2019-04-30 14:27:36,"RT @anteolai: Theresa May’s Brexit Plan To Headline Kilkenny Comedy Festival 

#Brexit

https://t.co/M4wFIUzExR"
2019-04-30 14:27:35,"A Brief History of Tory Party V1
#Brexit
#DoNotVote @Conservatives ever again
#FreeJulianAssange
@Millenial1706… https://t.co/PJOhSdBveb"
2019-04-30 14:27:35,"RT @Kishan_Devani: RT if you think this could be a lesson worth learning for @realDonaldTrump, @Nigel_Farage &amp; the @Conservatives Crew...…"
2019-04-30 14:27:34,"The problem with @jeremycorbyn as Labour leader,  is they're meeting at the bottom left of the horseshoe analogy,… https://t.co/HB1qWuN1NK"
2019-04-30 14:27:32,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:27:32,@CarolineLucas &amp; #Brexit will certainly not improve anything! A deregulated post brexit Britain with diminished pro… https://t.co/k6NZ5i5LeJ
2019-04-30 14:27:31,"RT @Kishan_Devani: RT if you think this could be a lesson worth learning for @realDonaldTrump, @Nigel_Farage &amp; the @Conservatives Crew...…"
2019-04-30 14:27:29,"""They're taking our jobs!"" #Brexit

(Also lol at ""Tusk"". Subtle.)

https://t.co/CymqYmFbQN"
2019-04-30 14:27:27,RT @joannaccherry: Good to see @theSNP are seen as the most anti #Brexit party. This fits with my experience in Scotland &amp; England where pe…
2019-04-30 14:27:24,"Tired of all the #Brexit uncertainty? 

Come and join us on Weds 5th June to discover how you can help your EU staf… https://t.co/VdcpAErzyA"
2019-04-30 14:27:23,RT @uk_sf_writer: @JamesCleverly @Conservatives Local councillors will pay the price for the duplicitous behaviour of Remainer @Conservativ…
2019-04-30 14:27:22,"We've moved from the ""Knowledge Age"" to the ""Alternative (facts/truth/arrangements) Age""... Sigh... #Brexit https://t.co/ZD00GcCvbm"
2019-04-30 14:27:21,"RT @MaireadMcGMEP: #Brexit isn’t making the headlines these days, but it hasn’t gone away and it’s always on my mind, particularly when out…"
2019-04-30 14:27:20,"RT @Socialistdawn: JLR to build new Land Rover Defender in Slovakia - selling in the EU, build in the EU #Brexit #FBPE  https://t.co/Ldqr1E…"
2019-04-30 14:27:19,RT @MatthewGreen02: Corbyn’s #Brexit 'fudge' is causing an exodus of Labour party members. His plan to mislead the many &amp; not just the few…
2019-04-30 14:27:19,"RT @MrAlignIT: @Nicki_Hattingh @Conservatives Get rid of them all, there are independent candidates or those that state they support #Brexi…"
2019-04-30 14:27:16,If this is the case proof @jeremycorbyn is pro #Brexit &amp; will ignore members.  His big sell was to give members mor… https://t.co/ls3yxwWUUH
2019-04-30 14:27:15,"RT @BBCPolitics: ""Most of my colleagues on the NEC have been inundated with thousands of emails"" on #Brexit, says Labour's Deputy Leader To…"
2019-04-30 14:27:15,"RT @nickreeves9876: Come on Remainers, let's have a 48 hour storm of social media campaigning to get the Remain vote out at the local elect…"
2019-04-30 14:27:13,RT @GLHeather: The stealthy privatisation and underfunding of our @NHSuk is worthy of a public enquiry. Those who stand on their principles…
2019-04-30 14:27:12,#Brexit : #TheresaMay threatens #Labour she will abandon talks if deal not reached by next week  https://t.co/RYlDbVisWM
2019-04-30 14:27:09,"RT @labourvsbrexit: Young Labour members, sign this open letter to the NEC Youth rep calling on them to stand by party’s democratically agr…"
2019-04-30 14:27:07,"RT @BBCPolitics: Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers:  

“We are now going to give y…"
2019-04-30 14:27:06,"RT @CorbynSnap: To honour my lifelong advocacy of membership democracy, I call on all Labour members to complete this survey to help instru…"
2019-04-30 14:27:03,@kann_news Enough of a reason to support #Brexit
2019-04-30 14:26:56,"RT @lunaperla: #Leave voters respected by
➡️triggering #A50
➡️diverting £4.2bn from #NHS/schools/homeless to spend on #Brexit
➡️transferrin…"
2019-04-30 14:26:56,"JLR to build new Land Rover Defender in Slovakia - selling in the EU, build in the EU #Brexit #FBPE  https://t.co/Ldqr1ETOYp"
2019-04-30 14:26:54,"RT @BBCPolitics: ""Most of my colleagues on the NEC have been inundated with thousands of emails"" on #Brexit, says Labour's Deputy Leader To…"
2019-04-30 14:26:52,RT @MatthewGreen02: Corbyn’s #Brexit 'fudge' is causing an exodus of Labour party members. His plan to mislead the many &amp; not just the few…
2019-04-30 14:26:49,"RT @LSRPlaid: @LiamFox What about whelks presently sold to South Korea and worth £6.2 million per annum to Welsh economy? 

Leave EU = no t…"
2019-04-30 14:26:43,RT @nickreeves9876: Farage lying shamelessly to make Britain look bad in front of an American audience. There is one word that fits Farage…
2019-04-30 14:26:42,"Theresa May... 😅😂

#Brexit #UK #Simpsons #lol https://t.co/yjkeHtQYt4"
2019-04-30 14:26:39,"RT @Fionafof: If the #Labour NEC decision isn't for a #PeoplesVote on any #Brexit deal, we can only conclude that the ideology of the few i…"
2019-04-30 14:26:35,"I tell you why they're laughing at us, when you set up an iPad you have to scroll down miles before you get to 'Uni… https://t.co/5Zqal7vMr4"
2019-04-30 14:26:35,"RT @liarsleague: One month on from #Brexit Day (original version), COUNTERFICTION by @timaldrich read by @timlarkfield at o... https://t.co…"
2019-04-30 14:26:22,"RT @Antonblakeactor: @Haggis_UK @Lawyers4EU @campbellclaret Meanwhile ... This! Labour is leading on #Brexit, by dragging its members kicki…"
2019-04-30 14:26:21,"@RoryStewartUK I haven't forgotten when you said you would resign if knife crime wasn't under control by September,… https://t.co/aJV8zLl5gd"
2019-04-30 14:26:20,RT @mrjohnnice: Who will you vote for in the EU elections? I think I've included every party.  Any others have no chance anyway #LEAVE #Rem…
2019-04-30 14:26:11,What ever happened to #Brexit?  Not heard about that fiasco in a while 😂😂
2019-04-30 14:26:05,"RT @BBCPolitics: ""Most of my colleagues on the NEC have been inundated with thousands of emails"" on #Brexit, says Labour's Deputy Leader To…"
2019-04-30 14:26:03,@Jacob_Rees_Mogg Not so much #Brexit directly. More the unmasking of lack of integrity in both @Conservatives and @labour .
2019-04-30 14:26:03,RT @Carol1neTweets: #Brexit Yoga - Regret position: feel your trading power diminish as the price of Camembert increases #repealarticle50…
2019-04-30 14:26:01,RT @OliverStanding: Interesting blog from @GrahamTAtkins on the impact of #brexit on domestic policy making. https://t.co/xoxgQ7FqfO @dunca…
2019-04-30 14:25:59,"RT @BarryAnderson_: It's okay everybody. Cowdenbeath v Crawley Town is going to save the UK.
#Brexit https://t.co/H8eqCFTWOc"
2019-04-30 14:25:50,"Ha ha, @DavidLammy is such a dope. He really thinks @theresa_may has pursued #Brexit and that's why she's dead in t… https://t.co/hcO2BLYxZZ"
2019-04-30 14:25:48,"@DiJolliffe If our Councillors could honour the #Brexit vote, we would. Unfortunately this is not something we can… https://t.co/fVE38oi22v"
2019-04-30 14:25:48,RT @guyverhofstadt: No way! Students mustn't be victims of #Brexit. I will write to PM May saying we will never accept this. Also for Erasm…
2019-04-30 14:25:48,@SimonWood2k5 @Peston @FisherAndrew79 @jeremycorbyn Maybe that is the best we can hope for that the EU elections sh… https://t.co/fJbO0bn0I9
2019-04-30 14:25:44,RT @KatySearle: Congratulations to ⁦@bbclaurak⁩ &amp; ⁦@BBCkatyaadler⁩ Broadcast journalist of the Year London Press Club #brexit https://t.co/…
2019-04-30 14:25:43,"RT @The_ChrisShaw: #Brexit was supposed to force German car makers to beat a path to our door.

Instead, it's caused British car makers to…"
2019-04-30 14:25:42,RT @AnnaMcMorrin: Proud to be one of over 100 MPs to ask that ⁦@UKLabour⁩ unequivocally and clearly backs a confirmatory vote on #Brexit to…
2019-04-30 14:25:42,"RT @LSRPlaid: OK - so a deal has to be ‘legitimized’ says @MickAntoniw1  outside Labour NEC

How?

Referendum? ‘No’
General election? ‘No’…"
2019-04-30 14:25:39,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:25:38,RT @AnnaMcMorrin: Proud to be one of over 100 MPs to ask that ⁦@UKLabour⁩ unequivocally and clearly backs a confirmatory vote on #Brexit to…
2019-04-30 14:25:25,"RT @geggygallus: #March4Democracy ""I'm a Democrat. Will you be there on  * 11May 2019 * Manchester?"" Honour memory #Peterloo martyrs for de…"
2019-04-30 14:25:17,"RT @joelymack: Does anyone else think that, if #Brexit goes ahead,  within a decade Brexiters will be wanting to leave the WTO because they…"
2019-04-30 14:25:16,"RT @BenJamminWalker: *POLL* Which party will you vote for in next months #EuropeanElections? 🗳

Retweet for a Larger Sample!

#Brexit #Peop…"
2019-04-30 14:25:14,RT @nickreeves9876: What the fuck is wrong with Remainers! Hardly anyone on Twitter is campaigning for Remain votes in the local elections.…
2019-04-30 14:25:05,RT @SimonFraser00: In March #Brexit ground to a halt. It’s a bad idea that just doesn’t work. We need to move on now to tackle the real pro…
2019-04-30 14:25:05,People who voted for #Brexit are non educated brainless idiots. This is 21st century not like used to be 100 years… https://t.co/fdsAFJh4mw
2019-04-30 14:25:03,RT @mrjohnnice: Who will you vote for in the EU elections? I think I've included every party.  Any others have no chance anyway #LEAVE #Rem…
2019-04-30 14:24:39,"RT @BBCPolitics: Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers:  

“We are now going to give y…"
2019-04-30 14:24:34,"#brexit: Proof that Corbyn has no intention whatsoever of aligning with the vast majority of Labour Supporters.

Co… https://t.co/BOdAsQfliC"
2019-04-30 14:24:33,What are the trends currently impacting the #contractor market? How will #IR35 and #Brexit affect the market in the… https://t.co/YoG45qTOO6
2019-04-30 14:24:33,"RT @jamesak47: If @jeremycorbyn fails to commit @UKLabour to confirmatory Brexit referendum I, a life long Lab supporter, will vote against…"
2019-04-30 14:24:30,RT @Haggis_UK: Alastair Campbell - It's time for Labour to lead on #Brexit...but people look at Corbyn &amp; think he's not a leader. The promi…
2019-04-30 14:24:29,#Brexit #BrexitParty #StandUp4Brexit The BBC should apologise to leavers for bias and insulting behaviour towards t… https://t.co/duO87dtI3L
2019-04-30 14:24:27,RT @joannaccherry: Good to see @theSNP are seen as the most anti #Brexit party. This fits with my experience in Scotland &amp; England where pe…
2019-04-30 14:24:24,"RT @nickreeves9876: I beg Remainers to tweet to encourage Remainers to vote in the local elections, and I get the reply that ""there are no…"
2019-04-30 14:24:21,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:24:10,"RT @joelymack: Does anyone else think that, if #Brexit goes ahead,  within a decade Brexiters will be wanting to leave the WTO because they…"
2019-04-30 14:24:08,RT @joelymack: Sick of seeing from Corbynistas that 'a vote against labour is a vote for more Tory austerity'. Fuck off - if you'd fully co…
2019-04-30 14:24:01,RT @SimonFraser00: In March #Brexit ground to a halt. It’s a bad idea that just doesn’t work. We need to move on now to tackle the real pro…
2019-04-30 14:23:57,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
